Time,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Sensor_21,Sensor_22
0,0.11,3.04,0,1.45,1.45,3.04,0,0.04,3.75,3.72,0,0,2.11,0,1.34,1.34,2.11,0,0.05,2.59,2.57,0
0.5,0.22,3.4,0,1.54,1.54,3.4,0,0.04,3.67,3.66,0,0,2.11,0.03,1.43,1.43,2.11,0.03,0.03,2.78,2.78,0
1,0.25,3.17,0,2.15,2.15,3.17,0,0.12,3.48,3.52,0,0.1,2.32,0,1.4,1.4,2.32,0,0.04,3.18,3.09,0
1.5,0.3,3.9,0,2.17,2.17,3.9,0,0.18,3.35,3.32,0,0.36,3,0.01,1.6,1.6,3,0.01,0.11,3.03,3.04,0
2,0.31,3.58,0.01,2.3,2.3,3.58,0.01,0.17,3.36,3.35,0,0.22,3.54,0.01,2.03,2.03,3.54,0.01,0.75,2.25,2.31,0
2.5,0.27,3.56,0,1.83,1.83,3.56,0,0.23,3.26,3.25,0,0.09,4.37,0.01,2.18,2.18,4.37,0.01,1.96,1.54,1.54,0
3,0.31,4.05,0,1.86,1.86,4.05,0,0.49,2.93,2.96,0,0,4.5,0.02,2.33,2.33,4.5,0.02,2.23,1.14,1.2,0
3.5,0.29,3.65,0,2.06,2.06,3.65,0,1.05,2.47,2.45,0,0,4.29,0.09,2.33,2.33,4.29,0.09,2.36,0.83,0.84,0
4,0.2,4.13,0.01,2.14,2.14,4.13,0.01,1.77,2.11,2.11,0,0,4.59,0,2.38,2.38,4.59,0,2.35,0.15,0.13,0
4.5,0.21,3.87,0,2.15,2.15,3.87,0,1.78,1.94,1.95,0,0,4.58,0.01,2.37,2.37,4.58,0.01,2.37,0.2,0.13,0
5,0.15,4.04,0,2.07,2.07,4.04,0,1.99,1.92,1.97,0,0.11,3.04,0,1.45,1.45,3.04,0,0.04,3.75,3.72,0
5.5,0.27,3.67,0.01,2.07,2.07,3.67,0.01,2.06,1.99,2,0,0.22,3.4,0,1.54,1.54,3.4,0,0.04,3.67,3.66,0
6,0.2,3.66,0,2.1,2.1,3.66,0,2.06,2.05,2.01,0,0.25,3.17,0,2.15,2.15,3.17,0,0.12,3.48,3.52,0
6.5,0.29,3.82,0,2.09,2.09,3.82,0,2.01,2.09,2.14,0,0.3,3.9,0,2.17,2.17,3.9,0,0.18,3.35,3.32,0
7,0.34,3.86,0.01,2.05,2.05,3.86,0.01,1.91,2.23,2.31,0,0.31,3.58,0.01,2.3,2.3,3.58,0.01,0.17,3.36,3.35,0
7.5,0.39,3.8,0.01,1.99,1.99,3.8,0.01,1.28,2.69,2.63,0,0.27,3.56,0,1.83,1.83,3.56,0,0.23,3.26,3.25,0
8,0.39,3.2,0.01,1.91,1.91,3.2,0.01,0.34,3.03,3.06,0,0.31,4.05,0,1.86,1.86,4.05,0,0.49,2.93,2.96,0
8.5,0.35,2.91,0,1.74,1.74,2.91,0,0.13,3.39,3.39,0,0.29,3.65,0,2.06,2.06,3.65,0,1.05,2.47,2.45,0
9,0.29,3.3,0,1.6,1.6,3.3,0,0.09,3.7,3.65,0,0.2,4.13,0.01,2.14,2.14,4.13,0.01,1.77,2.11,2.11,0
9.5,0.19,2.17,0,1.51,1.51,2.17,0,0.04,3.91,3.8,0,0.21,3.87,0,2.15,2.15,3.87,0,1.78,1.94,1.95,0
10,0.06,2.28,0,1.42,1.42,2.28,0,0.21,3.86,3.89,0,0.15,4.04,0,2.07,2.07,4.04,0,1.99,1.92,1.97,0
10.5,0.01,2.22,0,1.45,1.45,2.22,0,0.04,3.9,3.91,0,0.27,3.67,0.01,2.07,2.07,3.67,0.01,2.06,1.99,2,0
11,0,2.16,0,1.4,1.4,2.16,0,0.05,4.03,3.94,0.01,0.2,3.66,0,2.1,2.1,3.66,0,2.06,2.05,2.01,0.01
11.5,0.04,2.26,0,1.38,1.38,2.26,0,0.02,3.96,3.95,0,0.29,3.82,0,2.09,2.09,3.82,0,2.01,2.09,2.14,0
12,0.06,2.22,0,1.43,1.43,2.22,0,0.04,4.01,4.02,0,0.34,3.86,0.01,2.05,2.05,3.86,0.01,1.91,2.23,2.31,0
12.5,0.11,2.22,0,1.42,1.42,2.22,0,0.02,3.96,4.03,0,0.39,3.8,0.01,1.99,1.99,3.8,0.01,1.28,2.69,2.63,0
13,0.13,2.37,0,1.44,1.44,2.37,0,0.04,4.01,3.99,0,0.39,3.2,0.01,1.91,1.91,3.2,0.01,0.34,3.03,3.06,0
13.5,0.24,2.64,0,1.51,1.51,2.64,0,0.11,3.93,3.96,0,0.35,2.91,0,1.74,1.74,2.91,0,0.13,3.39,3.39,0
