Time,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Sensor_21,Sensor_22,
0,0,0,0,265,265,0,0,0,0,0,0,265,265,0,0,0,0,0,0,265,265,0,145
0.01,0,0,0,94.34,94.34,0,0,0,0,0,0,94.34,94.34,0,0,0,0,0,0,94.34,94.34,0,
0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.17,0,0,0,0,0,0,0,364.45,364.45,0,0,0,0,0,0,364.45,364.45,0,0,0,0,0,
0.18,0,0,0,0,0,0,76.83,492.5,569.33,0,0,0,0,0,76.83,492.5,569.33,0,0,0,0,0,
0.19,0,0,0,0,0,47.28,236.4,486.59,770.27,0,0,0,0,47.28,236.4,486.59,770.27,0,0,0,0,47.28,
0.2,0,0,0,0,0,179.27,336.87,374.3,890.44,0,0,0,0,179.27,336.87,374.3,890.44,0,0,0,0,179.27,
0.21,0,0,0,0,0,313.23,401.88,263.98,979.09,0,0,0,0,313.23,401.88,263.98,979.09,0,0,0,0,313.23,
0.22,0,0,0,0,0,448.63,429.78,154.57,1032.98,0,0,0,0,448.63,429.78,154.57,1032.98,0,0,0,0,448.63,
0.23,0,0,0,0,0,565.5,433.55,41.47,1040.52,0,0,0,0,565.5,433.55,41.47,1040.52,0,0,0,0,565.5,
0.24,0,0,0,0,0,667.29,410.93,0,1078.22,0,0,0,0,667.29,410.93,0,1078.22,0,0,0,0,667.29,
0.25,0,0,0,0,0,757.77,369.46,0,1127.23,0,0,0,0,757.77,369.46,0,1127.23,0,0,0,0,757.77,
0.26,0,0,0,0,0,833.17,290.29,0,1123.46,0,0,0,0,833.17,290.29,0,1123.46,0,0,0,0,833.17,
0.27,0,0,0,0,0,897.26,199.81,0,1097.07,0,0,0,0,897.26,199.81,0,1097.07,0,0,0,0,897.26,
0.28,0,0,0,0,0,927.42,94.25,0,1021.67,0,0,0,0,927.42,94.25,0,1021.67,0,0,0,0,927.42,
0.29,0,0,0,0,0,942.5,0,0,942.5,0,0,0,0,942.5,0,0,942.5,0,0,0,0,942.5,
0.3,0,0,0,0,0,901.03,0,0,901.03,0,0,0,0,901.03,0,0,901.03,0,0,0,0,901.03,
0.31,0,0,0,0,0,821.86,0,0,821.86,0,0,0,0,821.86,0,0,821.86,0,0,0,0,821.86,
0.32,0,0,0,0,0,693.68,0,0,693.68,0,0,0,0,693.68,0,0,693.68,0,0,0,0,693.68,
0.33,0,0,0,0,0,550,0,0,550,0,0,0,0,550,0,0,550,0,0,0,0,550,
0.34,0,0,0,0,0,400.4,0,0,400.4,0,0,0,0,400.4,0,0,400.4,0,0,0,0,400.4,
0.35,0,0,0,0,0,253,0,0,253,0,0,0,0,253,0,0,253,0,0,0,0,253,
0.36,0,0,0,0,0,125.4,0,0,125.4,0,0,0,0,125.4,0,0,125.4,0,0,0,0,125.4,
0.37,0,0,0,0,0,13.2,0,0,13.2,0,0,0,0,13.2,0,0,13.2,0,0,0,0,13.2,
0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.5,111.36,111.36,0,0,111.36,0,0,0,0,111.36,0,0,111.36,0,0,0,0,111.36,0,0,111.36,0,
0.51,503.44,503.44,0,0,503.44,0,0,0,0,503.44,0,0,503.44,0,0,0,0,503.44,0,0,503.44,0,
0.52,580,580,113.68,0,693.68,0,0,0,0,580,113.68,0,693.68,0,0,0,0,580,113.68,0,693.68,0,
0.53,480.24,480.24,285.36,88.16,853.76,0,0,0,0,480.24,285.36,88.16,853.76,0,0,0,0,480.24,285.36,88.16,853.76,0,
0.54,327.12,327.12,396.72,271.44,995.28,0,0,0,0,327.12,396.72,271.44,995.28,0,0,0,0,327.12,396.72,271.44,995.28,0,
0.55,162.13,162.13,460.24,481.16,1103.53,0,0,0,0,162.13,460.24,481.16,1103.53,0,0,0,0,162.13,460.24,481.16,1103.53,0,
0.56,31.38,31.38,481.16,658.98,1171.52,0,0,0,0,31.38,481.16,658.98,1171.52,0,0,0,0,31.38,481.16,658.98,1171.52,0,
0.57,0,0,475.93,810.65,1286.58,0,0,0,0,0,475.93,810.65,1286.58,0,0,0,0,0,475.93,810.65,1286.58,0,
